Dec 9, 2014 10:50:48 PM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Tracker,1874 (88%),500,100,1062,212,0,0,10,0,0
2nd,MAIG_RoboCode_Project.MCTSRobot,244 (12%),0,0,244,0,0,0,0,10,0
$
Dec 9, 2014 11:10:24 PM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Tracker,1855 (89%),500,100,1046,209,0,0,10,0,0
2nd,MAIG_RoboCode_Project.MCTSRobot,220 (11%),0,0,220,0,0,0,0,10,0
$
